request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_36,732.5900000000001,affordable_with_plan,full_payment,2026-09-15:3954,2026-09-15,reduce_to:event_3261:36,"Request 3,954.00 USD; spendable balance after pending-debit reserve is 3,846.60 USD. Conservative safe amount on request date is 732.59 USD while keeping the required minimum of 2,400.00 USD. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: reduce_to:event_3261:36. Priorities retained: healthcare, retirement_investment."
request_37,2863643.5700000003,affordable_later,wait,2025-02-20:14649000,2025-02-20,none,"Request 14,649,000.00 IDR; spendable balance after pending-debit reserve is 29,125,000.00 IDR. Conservative safe amount on request date is 2,863,643.57 IDR while keeping the required minimum of 17,056,200.00 IDR. One full payment becomes safe on 2025-02-20. Priorities retained: emergency_savings, housing."
request_38,204.3599999999999,affordable_with_plan,full_payment,2025-09-15:971.3,2025-09-15,stop:event_3448,"Request 971.30 EUR; spendable balance after pending-debit reserve is 779.40 EUR. Conservative safe amount on request date is 204.36 EUR while keeping the required minimum of 400.00 EUR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_3448. Priorities retained: education, family_support."
request_39,74651.555,affordable_with_plan,full_payment,2026-05-15:208600,2026-05-15,reduce_to:event_3529:2790,"Request 208,600.00 INR; spendable balance after pending-debit reserve is 416,505.00 INR. Conservative safe amount on request date is 74,651.55 INR while keeping the required minimum of 213,400.00 INR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: reduce_to:event_3529:2790. Priorities retained: emergency_savings, travel."
request_40,0.0,not_affordable,not_recommended,none,,none,"Request 1,290.30 EUR; spendable balance after pending-debit reserve is 2,351.00 EUR. Conservative safe amount on request date is 0.00 EUR while keeping the required minimum of 1,500.00 EUR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
request_41,11597655.07,affordable_with_plan,full_payment,2025-12-15:38760000,2025-12-15,reduce_to:event_3750:370880,"Request 38,760,000.00 IDR; spendable balance after pending-debit reserve is 47,255,550.00 IDR. Conservative safe amount on request date is 11,597,655.07 IDR while keeping the required minimum of 25,366,600.00 IDR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: reduce_to:event_3750:370880. Priorities retained: emergency_savings, travel."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Request 52,100.00 INR; spendable balance after pending-debit reserve is 253,665.00 INR. Conservative safe amount on request date is 52,100.00 INR while keeping the required minimum of 113,100.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, travel."
request_43,8342128.420000002,affordable_with_plan,full_payment,2024-11-15:43339000,2024-11-15,stop:event_3982,"Request 43,339,000.00 IDR; spendable balance after pending-debit reserve is 35,386,750.00 IDR. Conservative safe amount on request date is 8,342,128.42 IDR while keeping the required minimum of 21,398,000.00 IDR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_3982. Priorities retained: debt_repayment, emergency_savings."
request_44,0.0,not_affordable,not_recommended,none,,none,"Request 95,800.00 INR; spendable balance after pending-debit reserve is 162,290.00 INR. Conservative safe amount on request date is 0.00 INR while keeping the required minimum of 82,900.00 INR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
request_45,4014849.9299999997,affordable_with_plan,full_payment,2026-09-15:21983000,2026-09-15,stop:event_4144,"Request 21,983,000.00 IDR; spendable balance after pending-debit reserve is 19,982,900.00 IDR. Conservative safe amount on request date is 4,014,849.93 IDR while keeping the required minimum of 11,149,800.00 IDR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_4144. Priorities retained: healthcare, retirement_investment."
request_46,35126.66499999999,affordable_with_plan,partial_payment,2024-12-03:35126.66|2024-12-15:14323.34,2024-12-15,none,"Request 49,450.00 INR; spendable balance after pending-debit reserve is 202,335.00 INR. Conservative safe amount on request date is 35,126.66 INR while keeping the required minimum of 84,000.00 INR. A two-payment schedule is feasible within the requested deadline. Priorities retained: emergency_savings, housing."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Request 38,114,000.00 IDR; spendable balance after pending-debit reserve is 112,924,150.00 IDR. Conservative safe amount on request date is 38,114,000.00 IDR while keeping the required minimum of 30,049,000.00 IDR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, emergency_savings."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Request 45,700.00 INR; spendable balance after pending-debit reserve is 188,065.00 INR. Conservative safe amount on request date is 45,700.00 INR while keeping the required minimum of 71,300.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, travel."
request_49,12751170.060000002,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Request 34,333,000.00 IDR; spendable balance after pending-debit reserve is 40,504,493.34 IDR. Conservative safe amount on request date is 12,751,170.06 IDR while keeping the required minimum of 20,275,700.00 IDR. An allowed installment option completes by 2024-05-19; total payable is 35,706,320.01 IDR. Priorities retained: education, emergency_savings."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Request 43,900.00 INR; spendable balance after pending-debit reserve is 247,325.50 INR. Conservative safe amount on request date is 43,900.00 INR while keeping the required minimum of 99,700.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: healthcare, family_support."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Request 2,191,000.00 IDR; spendable balance after pending-debit reserve is 35,347,700.00 IDR. Conservative safe amount on request date is 2,191,000.00 IDR while keeping the required minimum of 7,811,000.00 IDR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, emergency_savings."
request_52,19388.709999999992,affordable_with_plan,full_payment,2024-06-15:28870,2024-06-15,stop:event_4858,"Request 28,870.00 INR; spendable balance after pending-debit reserve is 75,320.00 INR. Conservative safe amount on request date is 19,388.71 INR while keeping the required minimum of 41,500.00 INR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_4858. Priorities retained: debt_repayment, emergency_savings."
request_53,465.17999999999984,affordable_with_plan,full_payment,2026-01-15:1699.2,2026-01-15,stop:event_4925,"Request 1,699.20 USD; spendable balance after pending-debit reserve is 3,523.42 USD. Conservative safe amount on request date is 465.18 USD while keeping the required minimum of 2,100.00 USD. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_4925. Priorities retained: education, debt_repayment."
request_54,3643.510000000002,affordable_later,wait,2027-02-15:121528,2027-02-15,none,"Request 121,528.00 ZAR; spendable balance after pending-debit reserve is 53,581.40 ZAR. Conservative safe amount on request date is 3,643.51 ZAR while keeping the required minimum of 37,000.00 ZAR. One full payment becomes safe on 2027-02-15. Priorities retained: healthcare, retirement_investment."
request_55,128967.10999999999,affordable_with_plan,full_payment,2026-07-15:218600,2026-07-15,stop:event_5102,"Request 218,600.00 INR; spendable balance after pending-debit reserve is 314,341.19 INR. Conservative safe amount on request date is 128,967.11 INR while keeping the required minimum of 124,300.00 INR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_5102. Priorities retained: emergency_savings, housing."
request_56,734.5099999999998,affordable_with_plan,partial_payment,2025-02-03:734.51|2025-02-15:147.05,2025-02-15,none,"Request 881.56 USD; spendable balance after pending-debit reserve is 3,432.36 USD. Conservative safe amount on request date is 734.51 USD while keeping the required minimum of 2,100.00 USD. A two-payment schedule is feasible within the requested deadline. Priorities retained: education, family_support."
request_57,15164.330000000002,affordable_with_plan,full_payment,2026-05-15:61446,2026-05-15,stop:event_5281,"Request 61,446.00 ZAR; spendable balance after pending-debit reserve is 63,914.60 ZAR. Conservative safe amount on request date is 15,164.33 ZAR while keeping the required minimum of 42,700.00 ZAR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_5281. Priorities retained: retirement_investment, emergency_savings."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Request 16,226,000.00 IDR; spendable balance after pending-debit reserve is 42,146,065.00 IDR. Conservative safe amount on request date is 16,226,000.00 IDR while keeping the required minimum of 14,433,900.00 IDR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, emergency_savings."
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,"Request 140,600.00 INR; spendable balance after pending-debit reserve is 723,245.99 INR. Conservative safe amount on request date is 140,600.00 INR while keeping the required minimum of 132,600.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, emergency_savings."
request_60,165.1500000000001,affordable_with_plan,full_payment,2026-01-15:199.89,2026-01-15,stop:event_5574,"Request 199.89 USD; spendable balance after pending-debit reserve is 648.69 USD. Conservative safe amount on request date is 165.15 USD while keeping the required minimum of 400.00 USD. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_5574. Priorities retained: emergency_savings, travel."
request_61,29062.0,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,"Request 29,062.00 ZAR; spendable balance after pending-debit reserve is 145,180.03 ZAR. Conservative safe amount on request date is 29,062.00 ZAR while keeping the required minimum of 36,700.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: debt_repayment, emergency_savings."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Request 404.23 USD; spendable balance after pending-debit reserve is 5,006.44 USD. Conservative safe amount on request date is 404.23 USD while keeping the required minimum of 1,300.00 USD. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_63,52157.5,affordable_later,wait,2026-11-15:343900,2026-11-15,none,"Request 343,900.00 INR; spendable balance after pending-debit reserve is 243,645.00 INR. Conservative safe amount on request date is 52,157.50 INR while keeping the required minimum of 153,500.00 INR. One full payment becomes safe on 2026-11-15. Priorities retained: emergency_savings, travel."
request_64,0.0,affordable_later,wait,2024-09-15:63700,2024-09-15,none,"Request 63,700.00 INR; spendable balance after pending-debit reserve is 18,893.75 INR. Conservative safe amount on request date is 0.00 INR while keeping the required minimum of 36,100.00 INR. One full payment becomes safe on 2024-09-15. Priorities retained: emergency_savings, travel."
request_65,6706.619999999999,affordable_later,wait,2026-02-15:54340,2026-02-15,none,"Request 54,340.00 ZAR; spendable balance after pending-debit reserve is 28,524.00 ZAR. Conservative safe amount on request date is 6,706.62 ZAR while keeping the required minimum of 15,500.00 ZAR. One full payment becomes safe on 2026-02-15. Priorities retained: education, family_support."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Request 22,200.00 INR; spendable balance after pending-debit reserve is 302,520.00 INR. Conservative safe amount on request date is 22,200.00 INR while keeping the required minimum of 80,700.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_67,302.26,affordable_with_plan,full_payment,2024-10-15:2094,2024-10-15,reduce_to:event_6223:20.5,"Request 2,094.00 USD; spendable balance after pending-debit reserve is 1,992.54 USD. Conservative safe amount on request date is 302.26 USD while keeping the required minimum of 1,200.00 USD. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: reduce_to:event_6223:20.5. Priorities retained: education, emergency_savings."
request_68,1335.7999999999997,affordable_with_plan,full_payment,2025-03-23:2091.6,2025-03-23,stop:event_6330,"Request 2,091.60 USD; spendable balance after pending-debit reserve is 3,657.83 USD. Conservative safe amount on request date is 1,335.80 USD while keeping the required minimum of 1,500.00 USD. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_6330. Priorities retained: healthcare, family_support."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,"Request 529.10 EUR; spendable balance after pending-debit reserve is 1,639.50 EUR. Conservative safe amount on request date is 529.10 EUR while keeping the required minimum of 700.00 EUR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, housing."
request_70,50373.609999999986,affordable_with_plan,full_payment,2025-02-15:243900,2025-02-15,stop:event_6498,"Request 243,900.00 INR; spendable balance after pending-debit reserve is 208,360.00 INR. Conservative safe amount on request date is 50,373.61 INR while keeping the required minimum of 115,000.00 INR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_6498. Priorities retained: debt_repayment, emergency_savings."
request_71,1490750.4699999988,affordable_later,wait,2025-10-15:21451000,2025-10-15,none,"Request 21,451,000.00 IDR; spendable balance after pending-debit reserve is 16,369,850.00 IDR. Conservative safe amount on request date is 1,490,750.47 IDR while keeping the required minimum of 8,884,800.00 IDR. One full payment becomes safe on 2025-10-15. Priorities retained: emergency_savings, travel."
request_72,0.0,not_affordable,not_recommended,none,,none,"Request 11,330.00 ZAR; spendable balance after pending-debit reserve is 30,337.13 ZAR. Conservative safe amount on request date is 0.00 ZAR while keeping the required minimum of 12,200.00 ZAR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Request 71,400.00 INR; spendable balance after pending-debit reserve is 278,542.50 INR. Conservative safe amount on request date is 71,400.00 INR while keeping the required minimum of 103,200.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, housing."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Request 5,010.00 ZAR; spendable balance after pending-debit reserve is 70,056.90 ZAR. Conservative safe amount on request date is 5,010.00 ZAR while keeping the required minimum of 21,900.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_75,28270.0,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,"Request 28,270.00 ZAR; spendable balance after pending-debit reserve is 145,867.87 ZAR. Conservative safe amount on request date is 28,270.00 ZAR while keeping the required minimum of 39,000.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_76,0.0,not_affordable,not_recommended,none,,none,"Request 4,455.60 USD; spendable balance after pending-debit reserve is 3,338.80 USD. Conservative safe amount on request date is 0.00 USD while keeping the required minimum of 1,800.00 USD. No safe completion plan using the permitted payment methods is available. Priorities retained: education, emergency_savings."
request_77,59872.82000000001,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Request 60,700.00 INR; spendable balance after pending-debit reserve is 189,860.50 INR. Conservative safe amount on request date is 59,872.82 INR while keeping the required minimum of 82,200.00 INR. One full payment becomes safe on 2025-11-15. Priorities retained: healthcare, family_support."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Request 50,200.00 INR; spendable balance after pending-debit reserve is 156,676.00 INR. Conservative safe amount on request date is 50,200.00 INR while keeping the required minimum of 55,200.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, travel."
request_79,429.83500000000004,affordable_later,wait,2025-01-15:2151.6,2025-01-15,none,"Request 2,151.60 EUR; spendable balance after pending-debit reserve is 2,104.08 EUR. Conservative safe amount on request date is 429.84 EUR while keeping the required minimum of 1,000.00 EUR. One full payment becomes safe on 2025-01-15. Priorities retained: emergency_savings, travel."
request_80,0.0,not_affordable,not_recommended,none,,none,"Request 217,500.00 INR; spendable balance after pending-debit reserve is 273,415.00 INR. Conservative safe amount on request date is 0.00 INR while keeping the required minimum of 121,300.00 INR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Request 2,076.00 USD; spendable balance after pending-debit reserve is 4,855.25 USD. Conservative safe amount on request date is 2,076.00 USD while keeping the required minimum of 1,600.00 USD. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, housing."
request_82,189.2199999999998,affordable_later,wait,2025-05-20:1405.2,2025-05-20,none,"Request 1,405.20 USD; spendable balance after pending-debit reserve is 2,111.40 USD. Conservative safe amount on request date is 189.22 USD while keeping the required minimum of 1,100.00 USD. One full payment becomes safe on 2025-05-20. Priorities retained: emergency_savings, housing."
request_83,0.0,not_affordable,not_recommended,none,,none,"Request 156,200.00 INR; spendable balance after pending-debit reserve is 66,130.00 INR. Conservative safe amount on request date is 0.00 INR while keeping the required minimum of 37,800.00 INR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, family_support."
request_84,35956.23000000001,affordable_with_plan,full_payment,2026-05-15:95400,2026-05-15,stop:event_7856,"Request 95,400.00 INR; spendable balance after pending-debit reserve is 153,945.00 INR. Conservative safe amount on request date is 35,956.23 INR while keeping the required minimum of 91,300.00 INR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_7856. Priorities retained: emergency_savings, travel."
request_85,367767.96999999974,affordable_later,wait,2024-06-15:19304000,2024-06-15,none,"Request 19,304,000.00 IDR; spendable balance after pending-debit reserve is 8,818,420.00 IDR. Conservative safe amount on request date is 367,767.97 IDR while keeping the required minimum of 6,396,300.00 IDR. One full payment becomes safe on 2024-06-15. Priorities retained: education, emergency_savings."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Request 46,300.00 INR; spendable balance after pending-debit reserve is 228,639.50 INR. Conservative safe amount on request date is 46,300.00 INR while keeping the required minimum of 84,900.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: healthcare, family_support."
request_87,0.0,not_affordable,not_recommended,none,,none,"Request 487,900.00 INR; spendable balance after pending-debit reserve is 278,750.00 INR. Conservative safe amount on request date is 0.00 INR while keeping the required minimum of 185,900.00 INR. No safe completion plan using the permitted payment methods is available. Priorities retained: emergency_savings, travel."
request_88,10734.0,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Request 26,092.00 ZAR; spendable balance after pending-debit reserve is 41,357.89 ZAR. Conservative safe amount on request date is 10,734.00 ZAR while keeping the required minimum of 25,800.00 ZAR. An allowed installment option completes by 2024-08-15; total payable is 27,135.69 ZAR. Priorities retained: debt_repayment, emergency_savings."
request_89,9324615.66,affordable_with_plan,full_payment,2026-01-15:13756000,2026-01-15,stop:event_8336,"Request 13,756,000.00 IDR; spendable balance after pending-debit reserve is 27,331,862.01 IDR. Conservative safe amount on request date is 9,324,615.66 IDR while keeping the required minimum of 12,534,700.00 IDR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_8336. Priorities retained: emergency_savings, housing."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Request 2,560.00 ZAR; spendable balance after pending-debit reserve is 31,629.50 ZAR. Conservative safe amount on request date is 2,560.00 ZAR while keeping the required minimum of 7,600.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_91,289.4300000000003,affordable_later,wait,2025-04-15:1927.2,2025-04-15,none,"Request 1,927.20 EUR; spendable balance after pending-debit reserve is 4,209.60 EUR. Conservative safe amount on request date is 289.43 EUR while keeping the required minimum of 2,100.00 EUR. One full payment becomes safe on 2025-04-15. Priorities retained: emergency_savings, housing."
request_92,0.0,not_affordable,not_recommended,none,,none,"Request 34,034.00 ZAR; spendable balance after pending-debit reserve is 78,664.47 ZAR. Conservative safe amount on request date is 0.00 ZAR while keeping the required minimum of 28,100.00 ZAR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, family_support."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Request 1,729.20 USD; spendable balance after pending-debit reserve is 3,962.10 USD. Conservative safe amount on request date is 1,729.20 USD while keeping the required minimum of 1,900.00 USD. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Request 572.00 EUR; spendable balance after pending-debit reserve is 2,663.60 EUR. Conservative safe amount on request date is 572.00 EUR while keeping the required minimum of 600.00 EUR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_95,3835.389999999985,not_affordable,not_recommended,none,,none,"Request 553,000.00 INR; spendable balance after pending-debit reserve is 283,365.00 INR. Conservative safe amount on request date is 3,835.39 INR while keeping the required minimum of 145,500.00 INR. No safe completion plan using the permitted payment methods is available. Priorities retained: healthcare, family_support."
request_96,0.0,not_affordable,not_recommended,none,,none,"Request 90,200.00 INR; spendable balance after pending-debit reserve is 161,635.49 INR. Conservative safe amount on request date is 0.00 INR while keeping the required minimum of 56,500.00 INR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
request_97,1454.3600000000006,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Request 23,496.00 ZAR; spendable balance after pending-debit reserve is 38,565.89 ZAR. Conservative safe amount on request date is 1,454.36 ZAR while keeping the required minimum of 29,700.00 ZAR. An allowed installment option completes by 2024-05-20; total payable is 24,435.84 ZAR. Priorities retained: debt_repayment, emergency_savings."
request_98,9896.11,affordable_with_plan,full_payment,2025-09-15:27148,2025-09-15,stop:event_9076,"Request 27,148.00 ZAR; spendable balance after pending-debit reserve is 47,244.70 ZAR. Conservative safe amount on request date is 9,896.11 ZAR while keeping the required minimum of 30,000.00 ZAR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_9076. Priorities retained: emergency_savings, travel."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Request 18,062.00 ZAR; spendable balance after pending-debit reserve is 86,706.58 ZAR. Conservative safe amount on request date is 18,062.00 ZAR while keeping the required minimum of 49,100.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: healthcare, retirement_investment."
request_100,25122.03500000001,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Request 37,114.00 ZAR; spendable balance after pending-debit reserve is 67,336.13 ZAR. Conservative safe amount on request date is 25,122.04 ZAR while keeping the required minimum of 32,500.00 ZAR. An allowed installment option completes by 2024-08-14; total payable is 38,598.57 ZAR. Priorities retained: emergency_savings, housing."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Request 143,500.00 INR; spendable balance after pending-debit reserve is 450,208.50 INR. Conservative safe amount on request date is 143,500.00 INR while keeping the required minimum of 187,400.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, family_support."
request_102,1716.0,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,"Request 1,716.00 EUR; spendable balance after pending-debit reserve is 4,557.74 EUR. Conservative safe amount on request date is 1,716.00 EUR while keeping the required minimum of 900.00 EUR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_103,1861.9500000000116,affordable_later,wait,2024-12-15:368300,2024-12-15,none,"Request 368,300.00 INR; spendable balance after pending-debit reserve is 161,259.00 INR. Conservative safe amount on request date is 1,861.95 INR while keeping the required minimum of 125,500.00 INR. One full payment becomes safe on 2024-12-15. Priorities retained: education, emergency_savings."
request_104,0.0,not_affordable,not_recommended,none,,none,"Request 17,204.00 ZAR; spendable balance after pending-debit reserve is 64,021.70 ZAR. Conservative safe amount on request date is 0.00 ZAR while keeping the required minimum of 24,700.00 ZAR. No safe completion plan using the permitted payment methods is available. Priorities retained: healthcare, family_support."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Request 53,500.00 INR; spendable balance after pending-debit reserve is 147,831.80 INR. Conservative safe amount on request date is 53,500.00 INR while keeping the required minimum of 73,900.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: emergency_savings, travel."
request_106,459.8799999999999,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Request 2,207.70 EUR; spendable balance after pending-debit reserve is 2,601.70 EUR. Conservative safe amount on request date is 459.88 EUR while keeping the required minimum of 1,200.00 EUR. One full payment becomes safe on 2025-02-15. Priorities retained: debt_repayment, emergency_savings."
request_107,0.0,not_affordable,not_recommended,none,,none,"Request 2,534.40 EUR; spendable balance after pending-debit reserve is 5,054.52 EUR. Conservative safe amount on request date is 0.00 EUR while keeping the required minimum of 1,600.00 EUR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
